0	0
100	0
50	87
-50	87
-100	0
-50	-87
50	-87
200	0
173	100
100	173
0	200
-100	173
-173	100
-200	0
-173	-100
-100	-173
0	-200
100	-173
173	-100
300	0
282	103
230	193
150	260
52	295
-52	295
-150	260
-230	193
-282	103
-300	0
-282	-103
-230	-193
-150	-260
-52	-295
52	-295
150	-260
230	-193
282	-103
400	0
387	99
351	193
292	274
214	338
124	380
25	399
-75	393
-170	362
-255	308
-324	235
-372	147
-397	50
-397	-50
-372	-147
-324	-235
-255	-308
-170	-362
-75	-393
25	-399
124	-380
214	-338
292	-274
351	-193
387	-99
500	0
490	101
459	197
410	286
344	362
264	424
174	469
76	494
-25	499
-125	484
-220	449
-306	395
-379	326
-437	243
-477	150
-497	51
-497	-51
-477	-150
-437	-243
-379	-326
-306	-395
-220	-449
-125	-484
-25	-499
76	-494
174	-469
264	-424
344	-362
410	-286
459	-197
490	-101
600	0
591	101
566	200
524	293
467	377
396	450
315	511
224	557
126	587
25	599
-76	595
-176	574
-270	536
-357	482
-433	415
-497	336
-547	247
-581	151
-598	51
-598	-51
-581	-151
-547	-247
-497	-336
-433	-415
-357	-482
-270	-536
-176	-574
-76	-595
25	-599
126	-587
224	-557
315	-511
396	-450
467	-377
524	-293
566	-200
591	-101
700	0
693	102
670	202
634	297
584	386
521	467
448	538
365	598
274	644
177	677
77	696
-26	700
-127	688
-226	663
-320	623
-407	569
-486	504
-554	428
-610	343
-654	250
-683	152
-698	51
-698	-51
-683	-152
-654	-250
-610	-343
-554	-428
-486	-504
-407	-569
-320	-623
-226	-663
-127	-688
-26	-700
77	-696
177	-677
274	-644
365	-598
448	-538
521	-467
584	-386
634	-297
670	-202
693	-102
800	0
794	100
775	199
744	294
701	385
647	470
583	548
510	616
429	675
341	724
247	761
150	786
50	798
-50	798
-150	786
-247	761
-341	724
-429	675
-510	616
-583	548
-647	470
-701	385
-744	294
-775	199
-794	100
-800	0
-794	-100
-775	-199
-744	-294
-701	-385
-647	-470
-583	-548
-510	-616
-429	-675
-341	-724
-247	-761
-150	-786
-50	-798
50	-798
150	-786
247	-761
341	-724
429	-675
510	-616
583	-548
647	-470
701	-385
744	-294
775	-199
794	-100
900	0
894	101
877	200
849	297
811	390
762	479
704	561
636	636
561	704
479	762
390	811
297	849
200	877
101	894
0	900
-101	894
-200	877
-297	849
-390	811
-479	762
-561	704
-636	636
-704	561
-762	479
-811	390
-849	297
-877	200
-894	101
-900	0
-894	-101
-877	-200
-849	-297
-811	-390
-762	-479
-704	-561
-636	-636
-561	-704
-479	-762
-390	-811
-297	-849
-200	-877
-101	-894
0	-900
101	-894
200	-877
297	-849
390	-811
479	-762
561	-704
636	-636
704	-561
762	-479
811	-390
849	-297
877	-200
894	-101
1000	0
995	101
980	201
954	299
919	394
874	485
821	571
759	651
689	725
612	791
529	849
440	898
347	938
251	968
151	988
51	999
-51	999
-151	988
-251	968
-347	938
-440	898
-529	849
-612	791
-689	725
-759	651
-821	571
-874	485
-919	394
-954	299
-980	201
-995	101
-1000	0
-995	-101
-980	-201
-954	-299
-919	-394
-874	-485
-821	-571
-759	-651
-689	-725
-612	-791
-529	-849
-440	-898
-347	-938
-251	-968
-151	-988
-51	-999
51	-999
151	-988
251	-968
347	-938
440	-898
529	-849
612	-791
689	-725
759	-651
821	-571
874	-485
919	-394
954	-299
980	-201
995	-101
