0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
100	0
81	59
31	95
-31	95
-81	59
-100	0
-81	-59
-31	-95
31	-95
81	-59
200	0
162	118
62	190
-62	190
-162	118
-200	0
-162	-118
-62	-190
62	-190
162	-118
300	0
243	176
93	285
-93	285
-243	176
-300	0
-243	-176
-93	-285
93	-285
243	-176
400	0
324	235
124	380
-124	380
-324	235
-400	0
-324	-235
-124	-380
124	-380
324	-235
500	0
405	294
155	476
-155	476
-405	294
-500	0
-405	-294
-155	-476
155	-476
405	-294
600	0
485	353
185	571
-185	571
-485	353
-600	0
-485	-353
-185	-571
185	-571
485	-353
700	0
566	411
216	666
-216	666
-566	411
-700	0
-566	-411
-216	-666
216	-666
566	-411
800	0
647	470
247	761
-247	761
-647	470
-800	0
-647	-470
-247	-761
247	-761
647	-470
900	0
728	529
278	856
-278	856
-728	529
-900	0
-728	-529
-278	-856
278	-856
728	-529
1000	0
809	588
309	951
-309	951
-809	588
-1000	0
-809	-588
-309	-951
309	-951
809	-588
